sample,m0,m1,m2,m3,m4,m5,m6,m7
wt,20.07,29.97,27.51,15.04,6.05,1.36,0,0
wt,16.69,26.37,32.10,17.13,7.71,0.00,0,0
wt,15.19,31.35,30.71,16.41,4.87,1.46,0,0
wt,15.23,30.68,30.60,16.78,5.56,1.14,0,0
mut_1,14.78,30.17,31.39,16.55,6.10,1.01,0,0
mut_1,15.25,30.15,31.77,16.17,5.49,1.18,0,0
mut_1,14.56,30.11,32.78,15.70,6.22,0.64,0,0
mut_1,15.05,31.84,30.71,15.76,5.44,1.19,0,0
mut_2,18.18,30.98,29.06,14.96,5.43,1.38,0,0
mut_2,19.86,28.47,29.42,14.99,6.47,0.79,0,0
mut_2,16.47,31.47,30.49,15.12,5.71,0.73,0,0